STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72295023174,1/1/1999,33.93816,-118.3866,29.7,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",53.5,24,49.2,24,1016.3,24,12.6,24,2.7,24,3.7,24,8,999.9,66,*,44.1,*,0,I,999.9,100000
72295023174,1/2/1999,33.93816,-118.3866,29.7,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",55.2,24,46.1,24,1017.6,24,13.8,24,4.6,24,4.9,24,10.1,999.9,73,*,44.1,*,0.01,G,999.9,100000
72295023174,1/3/1999,33.93816,-118.3866,29.7,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",57.5,24,41.9,24,1017.9,24,14.1,22,5.9,24,3.6,24,7,999.9,77,*,44.1,*,0.01,G,999.9,100000
72295023174,1/4/1999,33.93816,-118.3866,29.7,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",63.2,24,22.3,24,1023,24,19.2,23,9.9,24,4.9,24,8.9,999.9,79,*,51.1,*,0.02,G,999.9,0
72295023174,1/5/1999,33.93816,-118.3866,29.7,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",61.4,24,24.5,24,1022.5,24,18.7,23,9.9,24,5.1,24,11.1,999.9,80.1, ,48.9, ,0,G,999.9,0
72295023174,1/6/1999,33.93816,-118.3866,29.7,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",58.6,24,34.3,24,1020,24,16.3,24,8,24,3.9,24,8,999.9,75.9, ,48.9, ,0,G,999.9,0
72295023174,1/7/1999,33.93816,-118.3866,29.7,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",54.4,24,46,24,1018.6,24,14.8,23,3.8,24,4,24,8,999.9,61,*,46.4,*,0,G,999.9,100000
72295023174,1/8/1999,33.93816,-118.3866,29.7,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",54.9,24,47.1,24,1018.8,24,15,24,3.9,24,4.9,24,10.1,999.9,62.1,*,51.1,*,0.01,G,999.9,100000
72295023174,1/9/1999,33.93816,-118.3866,29.7,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",58.4,24,33.9,24,1021.2,24,17.4,24,7.6,24,4.2,24,12,999.9,73.9,*,46.9,*,0,G,999.9,0
72295023174,1/10/1999,33.93816,-118.3866,29.7,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",61.5,24,29.9,24,1019.6,24,999.9,0,9.8,24,4.8,24,10.1,999.9,80.1,*,51.1,*,0,G,999.9,0
